Reference,Uso principal,Superficie construida,Año construcción
21045A001001170000YU,Agrario,191 m²,2009
41026A010000280000ER,Agrario,916 m²,1980
0640104CF9603N0001KI,AlmEst.UsoRESID,118 m²,2008
4150907XH6045S0046UR,Edif. Singular,208 m²,1979
0640104CF9603N0025DE,AlmEst.UsoRESID,84 m²,2008
09128H509005340001ED,Agrario,651 m²,2002
13058A037001450000JI,Agrario,991 m²,1999
30003A041000450000XL,Agrario,487 m²,2003
0262604DG7406S0000AF,Agrario,Not found,Not found
18129A002003240000QB,Agrario,Not found,Not found
41003A008000850000RW,Agrario,Not found,Not found
46247A009000130000QK,Agrario,Not found,Not found
30043A009000200000LI,Agrario,3.360 m²,1995
45002A016000730000FL,Agrario,Not found,Not found
45002A016000710000FQ,Agrario,Not found,Not found
30043A009000200000LI,Agrario,3.360 m²,1995
41003A007000780000RB,Agrario,Not found,Not found
22339A006000950000XS,Agrario,Not found,Not found
30043A009000200000LI,Agrario,3.360 m²,1995
46247A009000110000QM,Agrario,Not found,Not found
30043A009000200000LI,Agrario,3.360 m²,1995
41003A008000700000RO,Agrario,Not found,Not found
30043A009000200000LI,Agrario,3.360 m²,1995
30043A009000200000LI,Agrario,3.360 m²,1995
46247A009001020000QL,Agrario,Not found,Not found
46247A010000410000QZ,Agrario,Not found,Not found
30043A009000200000LI,Agrario,3.360 m²,1995
30043A009000200000LI,Agrario,3.360 m²,1995
30043A009000200000LI,Agrario,3.360 m²,1995
30043A009000200000LI,Agrario,3.360 m²,1995
46247A010000410000QZ,Agrario,Not found,Not found
46247A009000650000QY,Agrario,Not found,Not found
30043A009000200000LI,Agrario,3.360 m²,1995
30043A009000200000LI,Agrario,3.360 m²,1995
46247A010000910000QF,Agrario,Not found,Not found
46247A010000620000QK,Agrario,Not found,Not found
46247A010001270000QX,Agrario,Not found,Not found
30043A009000200000LI,Agrario,3.360 m²,1995
46247A009001380000QO,Agrario,Not found,Not found
30043A009000200000LI,Agrario,3.360 m²,1995
30043A009000200000LI,Agrario,3.360 m²,1995
46247A010001090000QY,Agrario,Not found,Not found
30043A009000200000LI,Agrario,3.360 m²,1995
46247A009000620000QW,Agrario,Not found,Not found
30043A009000200000LI,Agrario,3.360 m²,1995
08035A007000450000AA,Agrario,3.273 m²,1995
0152816VK4705A0004IQ,Residencial,49 m²,1900
6333428VK3763C0004QB,Residencial,65 m²,1960
6829504VK3762H0002EM,Residencial,50 m²,1958
8271704VK4787A0026IF,Residencial,69 m²,1970
8006201VK3780E0005KL,Residencial,48 m²,1960
3802203VK4730B0007RO,Residencial,61 m²,1970
2431512VK4723A0127XK,Residencial,92 m²,1940
4704901VK4740D0104XI,Comercial,146 m²,1989
4453510VK4745C0013RK,Residencial,51 m²,1965
0796907VK4709F0008TE,Residencial,63 m²,2010
1762935VK4616B0001AM,Residencial,81 m²,1959
3214828VK4731C0004DO,Residencial,21 m²,1900
4799502VK3649H0044SZ,Residencial,86 m²,1995
3105811VK4730E0002QI,Residencial,32 m²,1930
3501379VK4730B0001PE,Residencial,69 m²,1960
4911201VK4741B0007ZU,Residencial,70 m²,1965
0504303VK5800D0003XT,Residencial,68 m²,1952
3930809VK4733B0026ZR,Residencial,59 m²,1930
7660138VK4776B0010LS,Residencial,55 m²,1960
5317815VK4751E0007TG,Residencial,50 m²,1960
52287E9VK4752G0001OZ,Residencial,81 m²,1962
9504904VK3790D0006FG,Residencial,59 m²,1959
1630113VK4813B0002TY,Residencial,58 m²,1940
9410401VK3791A0032UX,Residencial,43 m²,1955
7298704VK4679G0011LS,Residencial,43 m²,1972
7292901VK4679A0026TH,Residencial,79 m²,2000
9988304VK3698G0020DB,Residencial,38 m²,2003
0500814VK4800B0040RM,Residencial,95 m²,2008
3816913VK4731F0004OD,Residencial,43 m²,1950
7657141VK4775F0008BO,Residencial,56 m²,1960
7752102VK4775B0003GF,Residencial,64 m²,1960
8623703VK3783B0130DH,Residencial,100 m²,1967
1374203VK4617C0058PX,Residencial,58 m²,1966
3725403VK4732F0004PU,Residencial,72 m²,1970
9362315VK3696C0007ES,Residencial,78 m²,1968
1331109VK4713A0006YL,Residencial,46 m²,1935
1596706VK4619F0004DZ,Residencial,66 m²,1967
9465701VK3696C0027PE,Residencial,37 m²,1965
6805922VK3760F0003GK,Residencial,82 m²,1981
3105803VK4730E0007UD,Residencial,67 m²,1969
0408920VK4700G0005FJ,Residencial,60 m²,1955
9968415VK3696H0002UY,Residencial,101 m²,1993
8297601VK3689E0266LO,Residencial,103 m²,2002
9603417VK3790D0004MD,Residencial,77 m²,1965
8102108VK3780A0008YO,Residencial,72 m²,1958
0669222VK4606H0010ZP,Residencial,61 m²,1965
1468712VK4616H0004XA,Residencial,70 m²,1965
5114302VK4751C0003UH,Residencial,83 m²,1982
7415117VK3771E0012TD,Residencial,79 m²,1955
6796503VK3669F0017FH,Residencial,66 m²,1966
1590404VK4619B0004XI,Residencial,88 m²,1985
